75;697,3385;697,6852;694,4445;600;600,3467;44,44123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;317;31;31;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,02;0;1,26;0,03;0;0,01;0,01;0,01;0,02;0,01;0;0,01;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;809;
76;697,3385;696,8171;693,8658;600;599,4786;44,30876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318;31;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0;1,26;0,03;0;0,02;0;0;0,02;0,01;0;0,02;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;819;
77;697,3385;697,3958;694,213;600;600,0573;44,40933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318;31;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0;0;1,24;0,02;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,02;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;829;
78;697,3385;697,1644;694,0394;600;599,8259;44,40057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;30;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0,01;0,01;1,24;0,03;0;0,01;0;0;0,02;0;0,01;0,03;0,02;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;839;
79;697,3385;697,1065;694,3287;600;599,768;44,39272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;30;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;721,6;749,3;0,01;0;1,24;0,03;0;0;0;0;0,02;0,01;0,01;0,03;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;849;
80;697,3385;696,7593;694,0394;600;599,4208;44,46621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;30;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0;1,24;0,03;0;0,02;0;0;0,01;0,01;0,01;0,03;0,03;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;859;
81;697,3385;697,1644;694,1551;600;599,8259;44,40889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;30;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0,01;0;1,24;0,03;0;0,01;0;0;0,02;0;0;0,02;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;869;
82;697,3385;697,743;694,2709;600;600,4045;44,4609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;30;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;721,7;749,2;0,01;0;1,24;0,03;0;0,02;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;879;
83;697,3385;696,8171;693,9236;600;599,4786;44,43501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,2;0,01;0,01;1,24;0,03;0;0;0;0;0,02;0,01;0;0,02;0,02;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;889;
84;697,3385;697,2222;694,0394;600;599,8837;44,36212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,3;0,01;0;1,24;0,02;0;0,01;0,01;0,01;0,02;0;0,01;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;899;
85;697,3385;697,1644;694,4445;600;599,8259;44,396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0,01;0;1,27;0,03;0;0;0;0;0,01;0;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;909;
86;697,3385;696,9907;694,3866;600;599,6522;44,37235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,3;0,01;0;1,28;0,03;0;0,01;0,01;0;0;0;0;0,02;0,01;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;919;
87;697,3385;697,3958;694,3287;600;600,0573;44,33601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0,01;0;1,26;0,03;0;0;0,01;0;0,01;0,01;0,01;0,02;0,03;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;929;
88;697,3385;697,8009;694,8495;600;600,4624;44,39019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0,01;0;1,25;0,03;0;0;0;0;0,01;0;0,01;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;939;
89;697,3385;697,743;693,9236;600;600,4045;44,39581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,6;749,2;0;0;1,25;0,03;0;0;0;0;0,02;0,01;0;0,01;0,03;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;949;
90;697,3385;697,338;694,0972;600;599,9995;44,35528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0,01;0;1,25;0,03;0;0;0,01;0;0,02;0;0;0,01;0,02;0;0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;959;
91;697,3385;697,6273;694,0972;600;600,2888;44,36139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0,01;0;1,26;0,03;0;0;0,01;0;0,02;0,01;0;0,02;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;969;
92;697,3385;697,6273;694,3866;600;600,2888;44,33199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;30;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,3;0,01;0;1,25;0,02;0;0,02;0;0;0,01;0;0,01;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;979;
93;697,3385;697,5695;694,4445;600;600,231;44,34513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,3;0,01;0;1,25;0,02;0;0,02;0;0;0,01;0,01;0;0,01;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;989;
94;697,3385;696,8171;694,1551;600;599,4786;44,39263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,2;0,01;0;1,23;0,02;0;0,02;0;0;0,02;0,01;0;0,03;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;999;
95;697,3385;697,5695;694,1551;600;600,231;44,46787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,2;0,01;0;1,24;0,02;0;0,02;0;0;0,01;0;0;0,03;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
96;697,3385;697,4537;693,5764;600;600,1152;44,4148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,2;0,01;0;1,24;0,02;0;0;0;0;0,01;0,01;0;0,02;0,01;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
97;697,3385;697,6852;693,4607;600;600,3467;44,35948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,2;0,02;0;1,24;0,03;0;0;0;0,01;0,01;0;0;0,02;0,02;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;
98;697,3385;696,9907;694,213;600;599,6522;44,42829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,1;0,01;0;1,24;0,03;0;0,02;0;0;0,02;0;0;0,01;0,03;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;
99;697,3385;697,6852;693,9815;600;600,3467;44,46918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,2;0,01;0;1,24;0,03;0;0;0;0;0,02;0,01;0;0,01;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;
100;697,3385;697,1065;694,0972;600;599,768;44,34632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,1;0,01;0;1,26;0,02;0;0;0;0;0,01;0;0;0,01;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;
101;697,3385;697,0486;693,8658;600;599,7101;44,36288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749,2;0,01;0,01;1,23;0,02;0;0;0;0,01;0,01;0,01;0,01;0,02;0,02;0;0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;
102;697,3385;697,3958;694,1551;600;600,0573;44,392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,1;0,01;0;1,24;0,03;0;0;0;0,01;0,01;0;0;0,03;0,01;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;
103;697,3385;697,5695;694,3287;600;600,231;44,43715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749,1;0;0;1,23;0,03;0;0;0;0;0,01;0;0,01;0,02;0,02;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;
104;697,3385;697,6273;693,9815;600;600,2888;44,44461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749;0,01;0;1,24;0,02;0;0;0;0;0,01;0,01;0;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;
105;697,3385;696,875;693,9815;600;599,5365;44,49184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;749;0,01;0,01;1,25;0,03;0;0,01;0;0;0,01;0,01;0,01;0,02;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;
106;697,3385;696,7014;694,0972;600;599,3629;44,50189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749;0,01;0;1,24;0,03;0;0,02;0;0;0,02;0,01;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;
107;697,3385;697,4537;693,8658;600;600,1152;44,42635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749;0,01;0;1,24;0,03;0;0;0;0;0,03;0;0;0,02;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;
108;697,3385;697,1065;694,5602;600;599,768;44,44258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749;0,01;0;1,24;0,03;0;0;0;0;0,02;0;0;0,02;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;
109;697,3385;697,743;694,6181;600;600,4045;44,38818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749;0,01;0;1,25;0,03;0;0,01;0;0;0;0,01;0;0,01;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;
110;697,3385;697,338;693,9236;600;599,9995;44,45197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;749;0,01;0;1,24;0,03;0;0,01;0;0;0,01;0;0;0,02;0;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159;
111;697,3385;697,3958;693,8079;600;600,0573;44,42006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;748,9;0,02;0;1,24;0,02;0;0,01;0,01;0;0,01;0,01;0,01;0,02;0,02;0,01;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;
112;697,3385;697,4537;694,213;600;600,1152;44,39574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;748,9;0,01;0;1,24;0,03;0;0;0,01;0;0,02;0;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;
113;697,3385;697,743;694,0394;600;600,4045;44,44984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;748,9;0,01;0;1,26;0,02;0;0,01;0;0;0,02;0,01;0,01;0,02;0,01;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;
114;697,3385;697,338;694,1551;600;599,9995;44,42278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;748,9;0,01;0;1,26;0,02;0;0,01;0;0;0,02;0;0;0,01;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;
115;697,3385;697,2801;694,676;600;599,9416;44,38108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;748,8;0;0;1,25;0,02;0;0;0;0;0,01;0,01;0;0,02;0,02;0;0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;
116;697,3385;696,8171;694,4445;600;599,4786;44,4249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;748,9;0,01;0;1,27;0,02;0;0;0;0,01;0,02;0,01;0,01;0,01;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;
117;697,3385;696,9329;694,8495;600;599,5944;44,36523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;748,8;0,02;0;1,26;0,03;0;0,01;0;0;0,02;0,01;0;0,02;0,03;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;
118;697,3385;697,6273;694,0394;600;600,2888;44,3843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;748,9;0,01;0;1,24;0,03;0;0,01;0;0;0,02;0,01;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;
119;697,3385;698,1481;694,8495;600;600,8096;44,34486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,9;748,8;0,01;0;1,24;0,03;0;0;0,01;0,01;0,02;0;0;0,01;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;
120;697,3385;697,338;693,8658;600;599,9995;44,37355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,8;748,8;0,01;0;1,24;0,03;0;0,01;0;0;0,02;0;0;0,03;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259;
121;697,3385;699,4792;694,3287;600;602,1407;44,38142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;29;29;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;721,7;748,8;0,01;0,01;1,24;0,03;0;0,02;0;0;0,01;0;0;0,02;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;
